,Target Search,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Ago,Tweet Time
0,@BBC,0.0,0.0,0.0,1.0,1,2018-09-28 23:35:39+00:00
1,@BBC,-0.5106,0.0,0.136,0.864,2,2018-09-28 23:35:37+00:00
2,@BBC,0.0,0.0,0.0,1.0,3,2018-09-28 23:34:27+00:00
3,@BBC,0.0,0.0,0.0,1.0,4,2018-09-28 23:32:20+00:00
4,@BBC,0.0,0.0,0.0,1.0,5,2018-09-28 23:32:18+00:00
5,@BBC,-0.1531,0.0,0.082,0.918,6,2018-09-28 23:31:50+00:00
6,@BBC,0.0,0.0,0.0,1.0,7,2018-09-28 23:31:44+00:00
7,@BBC,0.0,0.0,0.0,1.0,8,2018-09-28 23:31:41+00:00
8,@BBC,-0.75,0.0,0.262,0.738,9,2018-09-28 23:31:13+00:00
9,@BBC,-0.34,0.114,0.205,0.682,10,2018-09-28 23:31:07+00:00
10,@BBC,-0.7506,0.0,0.274,0.726,11,2018-09-28 23:31:05+00:00
11,@BBC,0.5848,0.166,0.0,0.834,12,2018-09-28 23:30:51+00:00
12,@BBC,0.0,0.0,0.0,1.0,13,2018-09-28 23:30:36+00:00
13,@BBC,0.0,0.0,0.0,1.0,14,2018-09-28 23:29:45+00:00
14,@BBC,0.0,0.0,0.0,1.0,15,2018-09-28 23:29:40+00:00
15,@BBC,0.0258,0.111,0.107,0.782,16,2018-09-28 23:28:58+00:00
16,@BBC,0.0,0.0,0.0,1.0,17,2018-09-28 23:28:30+00:00
17,@BBC,0.0,0.0,0.0,1.0,18,2018-09-28 23:28:28+00:00
18,@BBC,0.0,0.0,0.0,1.0,19,2018-09-28 23:28:24+00:00
19,@BBC,0.6249,0.231,0.0,0.769,20,2018-09-28 23:27:52+00:00
20,@BBC,0.5563,0.23,0.0,0.77,21,2018-09-28 23:27:34+00:00
21,@BBC,0.0,0.0,0.0,1.0,22,2018-09-28 23:27:18+00:00
22,@BBC,0.0,0.0,0.0,1.0,23,2018-09-28 23:27:14+00:00
23,@BBC,0.0,0.0,0.0,1.0,24,2018-09-28 23:26:31+00:00
24,@BBC,0.0,0.0,0.0,1.0,25,2018-09-28 23:26:29+00:00
25,@BBC,0.4215,0.237,0.0,0.763,26,2018-09-28 23:26:10+00:00
26,@BBC,0.0,0.0,0.0,1.0,27,2018-09-28 23:25:54+00:00
27,@BBC,-0.296,0.098,0.178,0.725,28,2018-09-28 23:25:42+00:00
28,@BBC,-0.3939,0.0,0.108,0.892,29,2018-09-28 23:24:43+00:00
29,@BBC,0.34,0.162,0.108,0.731,30,2018-09-28 23:24:11+00:00
30,@BBC,0.4926,0.144,0.0,0.856,31,2018-09-28 23:23:58+00:00
31,@BBC,-0.296,0.0,0.128,0.872,32,2018-09-28 23:23:46+00:00
32,@BBC,0.0,0.0,0.0,1.0,33,2018-09-28 23:23:28+00:00
33,@BBC,0.0,0.0,0.0,1.0,34,2018-09-28 23:23:06+00:00
34,@BBC,0.0,0.0,0.0,1.0,35,2018-09-28 23:22:45+00:00
35,@BBC,0.0,0.0,0.0,1.0,36,2018-09-28 23:22:35+00:00
36,@BBC,0.0,0.0,0.0,1.0,37,2018-09-28 23:22:22+00:00
37,@BBC,0.4404,0.132,0.0,0.868,38,2018-09-28 23:21:44+00:00
38,@BBC,0.0,0.0,0.0,1.0,39,2018-09-28 23:21:27+00:00
39,@BBC,0.0,0.0,0.0,1.0,40,2018-09-28 23:21:17+00:00
40,@BBC,0.0,0.0,0.0,1.0,41,2018-09-28 23:21:09+00:00
41,@BBC,0.0,0.0,0.0,1.0,42,2018-09-28 23:21:06+00:00
42,@BBC,0.0,0.0,0.0,1.0,43,2018-09-28 23:20:45+00:00
43,@BBC,-0.4215,0.0,0.128,0.872,44,2018-09-28 23:20:36+00:00
44,@BBC,0.4199,0.177,0.0,0.823,45,2018-09-28 23:20:01+00:00
45,@BBC,0.25,0.124,0.086,0.789,46,2018-09-28 23:19:59+00:00
46,@BBC,0.0,0.0,0.0,1.0,47,2018-09-28 23:19:36+00:00
47,@BBC,0.0,0.0,0.0,1.0,48,2018-09-28 23:18:40+00:00
48,@BBC,0.0,0.0,0.0,1.0,49,2018-09-28 23:18:28+00:00
49,@BBC,-0.6249,0.0,0.177,0.823,50,2018-09-28 23:18:20+00:00
50,@BBC,0.0,0.0,0.0,1.0,51,2018-09-28 23:17:52+00:00
51,@BBC,0.4019,0.119,0.0,0.881,52,2018-09-28 23:16:25+00:00
52,@BBC,0.0,0.0,0.0,1.0,53,2018-09-28 23:16:02+00:00
53,@BBC,0.0,0.0,0.0,1.0,54,2018-09-28 23:15:54+00:00
54,@BBC,-0.6249,0.0,0.177,0.823,55,2018-09-28 23:15:51+00:00
55,@BBC,0.4404,0.162,0.0,0.838,56,2018-09-28 23:15:28+00:00
56,@BBC,0.0,0.0,0.0,1.0,57,2018-09-28 23:14:55+00:00
57,@BBC,0.0,0.0,0.0,1.0,58,2018-09-28 23:14:10+00:00
58,@BBC,-0.6249,0.0,0.177,0.823,59,2018-09-28 23:13:08+00:00
59,@BBC,0.8225,0.275,0.0,0.725,60,2018-09-28 23:13:04+00:00
60,@BBC,0.4404,0.112,0.0,0.888,61,2018-09-28 23:12:17+00:00
61,@BBC,0.3612,0.217,0.0,0.783,62,2018-09-28 23:11:45+00:00
62,@BBC,0.4548,0.117,0.045,0.839,63,2018-09-28 23:10:56+00:00
63,@BBC,0.0,0.0,0.0,1.0,64,2018-09-28 23:10:31+00:00
64,@BBC,0.0,0.0,0.0,1.0,65,2018-09-28 23:10:29+00:00
65,@BBC,-0.6249,0.0,0.186,0.814,66,2018-09-28 23:09:26+00:00
66,@BBC,-0.5719,0.0,0.15,0.85,67,2018-09-28 23:09:04+00:00
67,@BBC,-0.5346,0.156,0.303,0.541,68,2018-09-28 23:08:57+00:00
68,@BBC,0.0,0.0,0.0,1.0,69,2018-09-28 23:07:24+00:00
69,@BBC,0.0,0.0,0.0,1.0,70,2018-09-28 23:06:47+00:00
70,@BBC,-0.7506,0.0,0.274,0.726,71,2018-09-28 23:06:33+00:00
71,@BBC,-0.3612,0.0,0.172,0.828,72,2018-09-28 23:06:06+00:00
72,@BBC,0.5256,0.124,0.0,0.876,73,2018-09-28 23:06:02+00:00
73,@BBC,0.0,0.0,0.0,1.0,74,2018-09-28 23:05:08+00:00
74,@BBC,0.5848,0.166,0.0,0.834,75,2018-09-28 23:05:01+00:00
75,@BBC,0.0,0.0,0.0,1.0,76,2018-09-28 23:03:42+00:00
76,@BBC,0.0,0.0,0.0,1.0,77,2018-09-28 23:03:39+00:00
77,@BBC,0.0,0.0,0.0,1.0,78,2018-09-28 23:03:09+00:00
78,@BBC,0.0,0.0,0.0,1.0,79,2018-09-28 23:03:02+00:00
79,@BBC,0.0,0.0,0.0,1.0,80,2018-09-28 23:02:21+00:00
80,@BBC,0.7783,0.375,0.0,0.625,81,2018-09-28 23:02:02+00:00
81,@BBC,0.9304,0.478,0.0,0.522,82,2018-09-28 23:02:01+00:00
82,@BBC,0.4404,0.112,0.0,0.888,83,2018-09-28 23:01:57+00:00
83,@BBC,0.0,0.0,0.0,1.0,84,2018-09-28 22:59:26+00:00
84,@BBC,-0.7506,0.0,0.274,0.726,85,2018-09-28 22:58:53+00:00
85,@BBC,-0.4215,0.0,0.128,0.872,86,2018-09-28 22:58:46+00:00
86,@BBC,0.0,0.0,0.0,1.0,87,2018-09-28 22:56:53+00:00
87,@BBC,0.0,0.0,0.0,1.0,88,2018-09-28 22:56:43+00:00
88,@BBC,-0.4767,0.0,0.237,0.763,89,2018-09-28 22:56:35+00:00
89,@BBC,0.0,0.0,0.0,1.0,90,2018-09-28 22:56:29+00:00
90,@BBC,0.3595,0.106,0.0,0.894,91,2018-09-28 22:56:26+00:00
91,@BBC,0.34,0.162,0.108,0.731,92,2018-09-28 22:56:22+00:00
92,@BBC,0.0,0.0,0.0,1.0,93,2018-09-28 22:55:48+00:00
93,@BBC,0.5423,0.179,0.0,0.821,94,2018-09-28 22:55:28+00:00
94,@BBC,0.0,0.0,0.0,1.0,95,2018-09-28 22:54:59+00:00
95,@CBSNews,-0.3182,0.073,0.142,0.785,1,2018-09-28 22:54:54+00:00
96,@CBSNews,-0.5563,0.0,0.418,0.582,2,2018-09-28 22:54:54+00:00
97,@CBSNews,0.0,0.0,0.0,1.0,3,2018-09-28 22:54:53+00:00
98,@CBSNews,0.0,0.0,0.0,1.0,4,2018-09-28 22:54:52+00:00
99,@CBSNews,0.8074,0.289,0.0,0.711,5,2018-09-28 22:54:52+00:00
100,@CBSNews,-0.6476,0.0,0.249,0.751,6,2018-09-28 22:54:52+00:00
101,@CBSNews,-0.34,0.0,0.286,0.714,7,2018-09-28 22:54:48+00:00
102,@CBSNews,-0.3595,0.0,0.293,0.707,8,2018-09-28 22:54:47+00:00
103,@CBSNews,0.0,0.0,0.0,1.0,9,2018-09-28 22:54:46+00:00
104,@CBSNews,0.5093,0.212,0.092,0.696,10,2018-09-28 22:54:45+00:00
105,@CBSNews,0.0,0.0,0.0,1.0,11,2018-09-28 22:54:43+00:00
106,@CBSNews,0.34,0.112,0.0,0.888,12,2018-09-28 22:54:42+00:00
107,@CBSNews,0.0258,0.084,0.0,0.916,13,2018-09-28 22:54:39+00:00
108,@CBSNews,-0.4019,0.0,0.109,0.891,14,2018-09-28 22:54:37+00:00
109,@CBSNews,-0.1027,0.0,0.072,0.928,15,2018-09-28 22:54:35+00:00
110,@CBSNews,0.6369,0.512,0.0,0.488,16,2018-09-28 22:54:33+00:00
111,@CBSNews,0.0,0.0,0.0,1.0,17,2018-09-28 22:54:28+00:00
112,@CBSNews,0.3802,0.393,0.0,0.607,18,2018-09-28 22:54:25+00:00
113,@CBSNews,-0.5106,0.0,0.452,0.548,19,2018-09-28 22:54:21+00:00
114,@CBSNews,0.0,0.0,0.0,1.0,20,2018-09-28 22:54:20+00:00
115,@CBSNews,-0.34,0.0,0.375,0.625,21,2018-09-28 22:54:19+00:00
116,@CBSNews,0.0,0.0,0.0,1.0,22,2018-09-28 22:54:19+00:00
117,@CBSNews,-0.4767,0.066,0.173,0.761,23,2018-09-28 22:54:18+00:00
118,@CBSNews,-0.6739,0.0,0.819,0.181,24,2018-09-28 22:54:16+00:00
119,@CBSNews,-0.6981,0.105,0.278,0.616,25,2018-09-28 22:54:13+00:00
120,@CBSNews,0.7184,0.24,0.0,0.76,26,2018-09-28 22:54:11+00:00
121,@CBSNews,-0.296,0.0,0.268,0.732,27,2018-09-28 22:54:08+00:00
122,@CBSNews,0.0,0.0,0.0,1.0,28,2018-09-28 22:54:06+00:00
123,@CBSNews,0.2746,0.393,0.237,0.37,29,2018-09-28 22:54:01+00:00
124,@CBSNews,0.0,0.0,0.0,1.0,30,2018-09-28 22:53:56+00:00
125,@CBSNews,0.0,0.0,0.0,1.0,31,2018-09-28 22:53:56+00:00
126,@CBSNews,0.0,0.0,0.0,1.0,32,2018-09-28 22:53:55+00:00
127,@CBSNews,0.0,0.0,0.0,1.0,33,2018-09-28 22:53:55+00:00
128,@CBSNews,0.0,0.0,0.0,1.0,34,2018-09-28 22:53:54+00:00
129,@CBSNews,0.0,0.0,0.0,1.0,35,2018-09-28 22:53:54+00:00
130,@CBSNews,-0.0196,0.106,0.109,0.785,36,2018-09-28 22:53:53+00:00
131,@CBSNews,-0.5267,0.0,0.167,0.833,37,2018-09-28 22:53:52+00:00
132,@CBSNews,0.0,0.0,0.0,1.0,38,2018-09-28 22:53:48+00:00
133,@CBSNews,0.4019,0.094,0.0,0.906,39,2018-09-28 22:53:39+00:00
134,@CBSNews,0.7184,0.429,0.0,0.571,40,2018-09-28 22:53:37+00:00
135,@CBSNews,0.4404,0.153,0.0,0.847,41,2018-09-28 22:53:36+00:00
136,@CBSNews,0.0,0.0,0.0,1.0,42,2018-09-28 22:53:34+00:00
137,@CBSNews,0.5574,0.153,0.0,0.847,43,2018-09-28 22:53:32+00:00
138,@CBSNews,-0.5267,0.0,0.159,0.841,44,2018-09-28 22:53:32+00:00
139,@CBSNews,-0.7452,0.0,0.21,0.79,45,2018-09-28 22:53:30+00:00
140,@CBSNews,0.0,0.0,0.0,1.0,46,2018-09-28 22:53:29+00:00
141,@CBSNews,0.4404,0.293,0.0,0.707,47,2018-09-28 22:53:23+00:00
142,@CBSNews,-0.4588,0.119,0.246,0.636,48,2018-09-28 22:53:16+00:00
143,@CBSNews,0.4019,0.213,0.0,0.787,49,2018-09-28 22:53:14+00:00
144,@CBSNews,0.0,0.0,0.0,1.0,50,2018-09-28 22:53:07+00:00
145,@CBSNews,0.0772,0.244,0.182,0.574,51,2018-09-28 22:53:06+00:00
146,@CBSNews,0.0,0.0,0.0,1.0,52,2018-09-28 22:52:59+00:00
147,@CBSNews,-0.3802,0.0,0.206,0.794,53,2018-09-28 22:52:55+00:00
148,@CBSNews,0.0,0.0,0.0,1.0,54,2018-09-28 22:52:52+00:00
149,@CBSNews,0.0,0.0,0.0,1.0,55,2018-09-28 22:52:51+00:00
150,@CBSNews,-0.4939,0.095,0.179,0.725,56,2018-09-28 22:52:50+00:00
151,@CBSNews,0.0,0.0,0.0,1.0,57,2018-09-28 22:52:49+00:00
152,@CBSNews,0.3945,0.359,0.218,0.423,58,2018-09-28 22:52:44+00:00
153,@CBSNews,0.0,0.0,0.0,1.0,59,2018-09-28 22:52:40+00:00
154,@CBSNews,0.0,0.0,0.0,1.0,60,2018-09-28 22:52:38+00:00
155,@CBSNews,-0.4767,0.066,0.173,0.761,61,2018-09-28 22:52:37+00:00
156,@CBSNews,0.0,0.0,0.0,1.0,62,2018-09-28 22:52:35+00:00
157,@CBSNews,-0.34,0.089,0.152,0.759,63,2018-09-28 22:52:24+00:00
158,@CBSNews,0.0,0.0,0.0,1.0,64,2018-09-28 22:52:22+00:00
159,@CBSNews,0.0,0.0,0.0,1.0,65,2018-09-28 22:52:06+00:00
160,@CBSNews,0.0,0.0,0.0,1.0,66,2018-09-28 22:52:05+00:00
161,@CBSNews,0.6705,0.256,0.0,0.744,67,2018-09-28 22:52:04+00:00
162,@CBSNews,-0.1027,0.0,0.065,0.935,68,2018-09-28 22:52:04+00:00
163,@CBSNews,0.0,0.0,0.0,1.0,69,2018-09-28 22:52:04+00:00
164,@CBSNews,-0.4588,0.119,0.246,0.636,70,2018-09-28 22:52:00+00:00
165,@CBSNews,0.0,0.0,0.0,1.0,71,2018-09-28 22:51:46+00:00
166,@CBSNews,0.4215,0.483,0.0,0.517,72,2018-09-28 22:51:43+00:00
167,@CBSNews,0.5106,0.249,0.0,0.751,73,2018-09-28 22:51:42+00:00
168,@CBSNews,0.6996,0.293,0.0,0.707,74,2018-09-28 22:51:41+00:00
169,@CBSNews,0.0,0.0,0.0,1.0,75,2018-09-28 22:51:37+00:00
170,@CBSNews,0.3182,0.126,0.0,0.874,76,2018-09-28 22:51:36+00:00
171,@CBSNews,0.5106,0.249,0.0,0.751,77,2018-09-28 22:51:27+00:00
172,@CBSNews,0.3182,0.084,0.0,0.916,78,2018-09-28 22:51:23+00:00
173,@CBSNews,0.3612,0.091,0.0,0.909,79,2018-09-28 22:51:22+00:00
174,@CBSNews,0.0,0.0,0.0,1.0,80,2018-09-28 22:51:14+00:00
175,@CBSNews,0.0,0.0,0.0,1.0,81,2018-09-28 22:51:09+00:00
176,@CBSNews,0.7277,0.203,0.049,0.749,82,2018-09-28 22:51:06+00:00
177,@CBSNews,0.0,0.0,0.0,1.0,83,2018-09-28 22:51:04+00:00
178,@CBSNews,0.0,0.0,0.0,1.0,84,2018-09-28 22:51:03+00:00
179,@CBSNews,-0.5204,0.0,0.324,0.676,85,2018-09-28 22:51:01+00:00
180,@CBSNews,0.296,0.316,0.177,0.506,86,2018-09-28 22:50:56+00:00
181,@CBSNews,-0.8164,0.104,0.319,0.577,87,2018-09-28 22:50:55+00:00
182,@CBSNews,0.0258,0.091,0.0,0.909,88,2018-09-28 22:50:53+00:00
183,@CBSNews,0.3612,0.333,0.0,0.667,89,2018-09-28 22:50:51+00:00
184,@CBSNews,-0.6428,0.0,0.168,0.832,90,2018-09-28 22:50:42+00:00
185,@CBSNews,0.0,0.0,0.0,1.0,91,2018-09-28 22:50:42+00:00
186,@CBSNews,0.0,0.0,0.0,1.0,92,2018-09-28 22:50:41+00:00
187,@CBSNews,0.4404,0.182,0.0,0.818,93,2018-09-28 22:50:41+00:00
188,@CBSNews,0.7096,0.258,0.0,0.742,94,2018-09-28 22:50:39+00:00
189,@CBSNews,0.0,0.0,0.0,1.0,95,2018-09-28 22:50:35+00:00
190,@CBSNews,-0.2263,0.0,0.137,0.863,96,2018-09-28 22:50:31+00:00
191,@CBSNews,0.25,0.414,0.241,0.345,97,2018-09-28 22:50:27+00:00
192,@CBSNews,0.0,0.0,0.0,1.0,98,2018-09-28 22:50:26+00:00
193,@CBSNews,-0.6428,0.0,0.168,0.832,99,2018-09-28 22:50:26+00:00
194,@CBSNews,0.0258,0.084,0.0,0.916,100,2018-09-28 22:50:25+00:00
195,@CNN,-0.7003,0.0,0.744,0.256,1,2018-09-28 22:50:21+00:00
196,@CNN,-0.4588,0.0,0.1,0.9,2,2018-09-28 22:50:21+00:00
197,@CNN,-0.7003,0.051,0.225,0.725,3,2018-09-28 22:50:20+00:00
198,@CNN,-0.4588,0.0,0.1,0.9,4,2018-09-28 22:50:17+00:00
199,@CNN,0.25,0.099,0.062,0.839,5,2018-09-28 22:50:13+00:00
200,@CNN,0.0,0.0,0.0,1.0,6,2018-09-28 22:50:13+00:00
201,@CNN,0.0,0.0,0.0,1.0,7,2018-09-28 22:50:13+00:00
202,@CNN,0.0,0.0,0.0,1.0,8,2018-09-28 22:50:11+00:00
203,@CNN,0.0,0.0,0.0,1.0,9,2018-09-28 22:50:10+00:00
204,@CNN,0.25,0.099,0.062,0.839,10,2018-09-28 22:50:09+00:00
205,@CNN,-0.1027,0.14,0.163,0.698,11,2018-09-28 22:50:09+00:00
206,@CNN,-0.4019,0.0,0.252,0.748,12,2018-09-28 22:50:07+00:00
207,@CNN,-0.6597,0.0,0.197,0.803,13,2018-09-28 22:50:06+00:00
208,@CNN,-0.3016,0.112,0.168,0.72,14,2018-09-28 22:50:05+00:00
209,@CNN,0.0,0.0,0.0,1.0,15,2018-09-28 22:50:05+00:00
210,@CNN,0.0258,0.048,0.0,0.952,16,2018-09-28 22:50:05+00:00
211,@CNN,0.0,0.0,0.0,1.0,17,2018-09-28 22:50:04+00:00
212,@CNN,0.0,0.0,0.0,1.0,18,2018-09-28 22:50:03+00:00
213,@CNN,-0.4767,0.066,0.173,0.761,19,2018-09-28 22:50:03+00:00
214,@CNN,0.0,0.0,0.0,1.0,20,2018-09-28 22:50:02+00:00
215,@CNN,0.2944,0.103,0.0,0.897,21,2018-09-28 22:50:01+00:00
216,@CNN,0.0,0.0,0.0,1.0,22,2018-09-28 22:50:00+00:00
217,@CNN,-0.1779,0.118,0.147,0.735,23,2018-09-28 22:49:58+00:00
218,@CNN,0.7003,0.367,0.0,0.633,24,2018-09-28 22:49:57+00:00
219,@CNN,0.0,0.0,0.0,1.0,25,2018-09-28 22:49:56+00:00
220,@CNN,0.25,0.099,0.062,0.839,26,2018-09-28 22:49:55+00:00
221,@CNN,-0.7712,0.0,0.268,0.732,27,2018-09-28 22:49:53+00:00
222,@CNN,0.296,0.155,0.0,0.845,28,2018-09-28 22:49:52+00:00
223,@CNN,-0.1027,0.107,0.121,0.772,29,2018-09-28 22:49:52+00:00
224,@CNN,0.0,0.0,0.0,1.0,30,2018-09-28 22:49:51+00:00
225,@CNN,-0.7003,0.051,0.225,0.725,31,2018-09-28 22:49:51+00:00
226,@CNN,0.0,0.0,0.0,1.0,32,2018-09-28 22:49:51+00:00
227,@CNN,0.25,0.099,0.062,0.839,33,2018-09-28 22:49:50+00:00
228,@CNN,-0.7096,0.0,0.237,0.763,34,2018-09-28 22:49:49+00:00
229,@CNN,-0.7184,0.0,0.25,0.75,35,2018-09-28 22:49:49+00:00
230,@CNN,0.3818,0.12,0.0,0.88,36,2018-09-28 22:49:49+00:00
231,@CNN,-0.5267,0.089,0.196,0.714,37,2018-09-28 22:49:48+00:00
232,@CNN,0.25,0.099,0.062,0.839,38,2018-09-28 22:49:48+00:00
233,@CNN,0.296,0.145,0.0,0.855,39,2018-09-28 22:49:47+00:00
234,@CNN,0.0,0.0,0.0,1.0,40,2018-09-28 22:49:46+00:00
235,@CNN,0.0,0.0,0.0,1.0,41,2018-09-28 22:49:45+00:00
236,@CNN,0.0,0.0,0.0,1.0,42,2018-09-28 22:49:44+00:00
237,@CNN,0.0,0.0,0.0,1.0,43,2018-09-28 22:49:43+00:00
238,@CNN,-0.8462,0.0,0.324,0.676,44,2018-09-28 22:49:43+00:00
239,@CNN,0.5574,0.153,0.0,0.847,45,2018-09-28 22:49:43+00:00
240,@CNN,0.0,0.0,0.0,1.0,46,2018-09-28 22:49:43+00:00
241,@CNN,0.0,0.0,0.0,1.0,47,2018-09-28 22:49:42+00:00
242,@CNN,0.0,0.0,0.0,1.0,48,2018-09-28 22:49:41+00:00
243,@CNN,0.0,0.0,0.0,1.0,49,2018-09-28 22:49:41+00:00
244,@CNN,-0.4939,0.0,0.16,0.84,50,2018-09-28 22:49:40+00:00
245,@CNN,0.0,0.0,0.0,1.0,51,2018-09-28 22:49:40+00:00
246,@CNN,0.0258,0.126,0.162,0.711,52,2018-09-28 22:49:39+00:00
247,@CNN,-0.4588,0.0,0.1,0.9,53,2018-09-28 22:49:38+00:00
248,@CNN,0.25,0.099,0.062,0.839,54,2018-09-28 22:49:37+00:00
249,@CNN,-0.4939,0.0,0.174,0.826,55,2018-09-28 22:49:37+00:00
250,@CNN,0.25,0.099,0.062,0.839,56,2018-09-28 22:49:36+00:00
